Pred_tongue_area,Pred_tongue_centroid_x,Pred_tongue_centroid_y,Pred_tongue_tip_y,Pred_tongue_dorsum_height,Pred_tongue_width,Pred_jaw_area,Pred_jaw_centroid_y,Pred_jaw_opening,Pred_lip_area,Pred_lip_centroid_y,Pred_lip_aperture,Pred_constriction_degree,Pred_constriction_location_y,Target_tongue_area,Target_tongue_centroid_x,Target_tongue_centroid_y,Target_tongue_tip_y,Target_tongue_dorsum_height,Target_tongue_width,Target_jaw_area,Target_jaw_centroid_y,Target_jaw_opening,Target_lip_area,Target_lip_centroid_y,Target_lip_aperture,Target_constriction_degree,Target_constriction_location_y
0.27681586,0.65168655,0.44770756,-0.0050292276,0.088186815,0.9476015,-0.0062264646,-0.031490017,-0.004161337,-0.010072513,-0.014741704,-0.017432434,0.06367529,0.2686073,0.28911564,0.66005486,0.4498541,0.0,0.07395296,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.11904762,0.5
0.2755846,0.650824,0.44751891,-0.002769621,0.08893984,0.9516328,-0.0052441363,-0.0331952,-0.0075254394,-0.0065132286,-0.010072251,-0.010844346,0.061386377,0.25472376,0.28784013,0.6596563,0.44952053,0.0,0.073716834,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.13095239,0.48809522
0.27580938,0.6520378,0.44752145,0.0004699286,0.089910485,0.9525683,-0.0057842876,-0.040180393,-0.0058977464,-0.014912326,-0.01708711,-0.017165706,0.061403267,0.258329,0.28954083,0.6602161,0.44765517,0.0,0.074383244,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.11904762,0.51190484
0.2752518,0.6523436,0.44752678,-0.0026149335,0.08963241,0.95147383,-0.004938126,-0.03647963,-0.003908487,-0.015034697,-0.015800051,-0.018418375,0.06361891,0.27271843,0.29166666,0.6616861,0.4474293,0.0,0.073497735,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.11904762,0.51190484
0.277484,0.6525724,0.44892943,-0.001734158,0.09063743,0.9502429,-0.007031664,-0.029497903,-0.002505029,-0.01808571,-0.023251353,-0.018197104,0.06694072,0.28795433,0.29350907,0.6634189,0.4494953,0.0,0.08104396,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.11904762,0.51190484
0.2763451,0.6519607,0.44776994,-0.0033623993,0.090506285,0.9496411,-0.004803012,-0.035463296,-0.0045775278,-0.013674537,-0.016588904,-0.015731342,0.06503287,0.29065895,0.29393423,0.66343504,0.44926986,0.0,0.080866575,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.11904762,0.51190484
0.2778605,0.6520366,0.44842964,-0.0053153816,0.08969286,0.94809955,-0.0071656043,-0.025634136,-0.00094538555,-0.011011874,-0.020910388,-0.015585299,0.06727312,0.28633472,0.2936508,0.66335726,0.44978398,0.0,0.08083977,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.13095239,0.51190484
0.27781394,0.6523149,0.44757298,-0.0032406277,0.08949817,0.9490059,-0.0076388167,-0.03183915,-0.002456013,-0.01841156,-0.020218628,-0.013066059,0.06852126,0.28429136,0.2936508,0.66378814,0.450031,0.0,0.080377296,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.13095239,0.51190484
0.27462608,0.65192187,0.44729874,-0.0013771951,0.09026244,0.94950235,-0.0070566046,-0.032249883,-0.003275176,-0.016483698,-0.018811312,-0.014327765,0.06474247,0.28431806,0.29421768,0.66386825,0.45234653,0.0,0.08078232,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.48809522
0.27520838,0.65209836,0.4479127,-0.0051244926,0.09016059,0.954394,-0.004788816,-0.030339034,-0.003507334,-0.011417346,-0.020495554,-0.017557878,0.065371186,0.28307542,0.29464287,0.66320807,0.45181406,0.0,0.0804324,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.48809522
0.27750877,0.65236545,0.44901547,-0.0023109103,0.09043378,0.9530302,-0.0059098215,-0.03307716,0.00027397415,-0.017691389,-0.020476446,-0.01598268,0.0664267,0.2749308,0.29620183,0.6640351,0.45132717,0.0,0.0810065,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.51190484
0.2767731,0.6520141,0.4485337,-0.0007917206,0.09040705,0.9512302,-0.0054880762,-0.034126952,-0.002148056,-0.017064625,-0.023910213,-0.015840113,0.06724803,0.29029942,0.2960601,0.66481453,0.4517313,0.0,0.08097407,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.5
0.27570564,0.6522102,0.44633263,0.0011234526,0.08978874,0.95051867,-0.006233993,-0.03834665,-0.004022516,-0.011243487,-0.019350506,-0.0148165515,0.06573572,0.289873,0.2986111,0.66398853,0.4512227,0.0,0.07998177,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.5
0.27572775,0.65271235,0.4457018,-0.0064050434,0.08854974,0.9448297,-0.0059361067,-0.030376226,-0.00082052266,-0.010876419,-0.02089917,-0.0074568596,0.06853572,0.29700753,0.29889455,0.6642225,0.45133102,0.0,0.07998177,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.51190484
0.27398834,0.65147424,0.44509807,-0.00037642615,0.090266615,0.9494573,-0.005906231,-0.035441168,-0.0039968328,-0.014534712,-0.016097106,-0.012439863,0.063400395,0.28416494,0.2967687,0.6630395,0.451983,0.0,0.08091984,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.51190484
0.27374902,0.6514169,0.4470034,-0.0037604803,0.09045613,0.9508986,-0.0036307639,-0.027430758,-0.0040653404,-0.010031876,-0.017529175,-0.019059787,0.062198333,0.28436843,0.29705215,0.66329855,0.4518073,0.0,0.08063995,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.15476191,0.48809522
0.2731711,0.652009,0.44591576,-0.0036461079,0.090148956,0.95451164,-0.006703036,-0.031548567,-0.0028781793,-0.01301082,-0.019672345,-0.02181259,0.062403142,0.2909683,0.29520977,0.663289,0.44391102,0.0,0.07304038,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.5
